Numer_zgloszenia;Czas_naprawy;Rodzaj
2;01.01.2015 20:08;restart
7;02.01.2015 16:30;restart
4;02.01.2015 19:37;wymiana
10;03.01.2015 18:25;wymiana
11;03.01.2015 22:19;restart
12;04.01.2015 05:26;wymiana
6;04.01.2015 12:03;restart
16;04.01.2015 19:45;wymiana
14;04.01.2015 20:50;restart
5;04.01.2015 21:25;restart
3;04.01.2015 21:30;wymiana
19;05.01.2015 00:03;restart
11;05.01.2015 04:07;wymiana
23;05.01.2015 07:55;restart
22;05.01.2015 09:26;wymiana
7;05.01.2015 10:59;restart
22;05.01.2015 11:28;wymiana
10;05.01.2015 13:04;wymiana
1;05.01.2015 14:27;restart
13;05.01.2015 15:18;restart
20;05.01.2015 16:24;restart
10;05.01.2015 16:25;restart
13;05.01.2015 19:00;wymiana
6;05.01.2015 19:00;restart
25;06.01.2015 02:13;restart
23;06.01.2015 08:12;restart
28;06.01.2015 09:02;wymiana
10;06.01.2015 09:13;wymiana
5;06.01.2015 13:48;restart
23;06.01.2015 15:44;wymiana
31;06.01.2015 19:13;restart
29;06.01.2015 23:15;restart
16;07.01.2015 01:42;wymiana
14;07.01.2015 04:02;wymiana
6;07.01.2015 04:13;restart
23;07.01.2015 07:58;restart
19;07.01.2015 08:03;wymiana
32;07.01.2015 08:29;wymiana
32;07.01.2015 09:29;wymiana
27;07.01.2015 17:15;wymiana
21;07.01.2015 18:17;restart
13;07.01.2015 21:47;wymiana
26;08.01.2015 06:22;restart
22;08.01.2015 11:58;restart
16;08.01.2015 12:46;restart
14;08.01.2015 15:54;wymiana
8;08.01.2015 18:16;wymiana
30;08.01.2015 19:55;restart
36;08.01.2015 19:55;wymiana
19;08.01.2015 20:24;wymiana
35;08.01.2015 21:29;wymiana
21;08.01.2015 22:17;restart
29;08.01.2015 22:22;restart
32;09.01.2015 01:56;wymiana
42;09.01.2015 03:30;restart
14;09.01.2015 03:35;wymiana
17;09.01.2015 04:01;restart
5;09.01.2015 04:10;wymiana
43;09.01.2015 04:36;restart
18;09.01.2015 06:21;wymiana
14;09.01.2015 09:13;wymiana
16;09.01.2015 10:55;restart
17;09.01.2015 11:58;wymiana
9;09.01.2015 13:56;restart
11;09.01.2015 18:28;restart
29;09.01.2015 18:58;wymiana
22;09.01.2015 21:47;restart
35;09.01.2015 22:38;restart
15;09.01.2015 23:22;restart
35;10.01.2015 01:35;wymiana
11;10.01.2015 03:04;wymiana
28;10.01.2015 08:47;restart
47;10.01.2015 11:22;wymiana
43;10.01.2015 11:23;restart
44;10.01.2015 11:38;wymiana
19;10.01.2015 14:26;restart
24;10.01.2015 19:10;restart
48;10.01.2015 21:03;wymiana
23;10.01.2015 23:43;wymiana
29;11.01.2015 00:00;wymiana
22;11.01.2015 04:15;restart
37;11.01.2015 04:49;restart
40;11.01.2015 05:47;restart
33;11.01.2015 08:08;wymiana
28;11.01.2015 08:30;wymiana
38;11.01.2015 09:52;wymiana
43;11.01.2015 10:12;wymiana
21;11.01.2015 13:44;restart
43;11.01.2015 16:16;wymiana
32;11.01.2015 19:35;wymiana
53;11.01.2015 20:18;wymiana
29;11.01.2015 21:43;restart
47;11.01.2015 22:20;wymiana
41;12.01.2015 05:20;wymiana
52;12.01.2015 08:20;restart
34;12.01.2015 09:00;restart
57;12.01.2015 15:36;wymiana
38;12.01.2015 17:18;wymiana
43;12.01.2015 20:00;restart
35;12.01.2015 22:57;restart
61;13.01.2015 02:17;wymiana
31;13.01.2015 03:53;wymiana
35;13.01.2015 05:42;wymiana
56;13.01.2015 06:53;wymiana
55;13.01.2015 21:34;restart
49;13.01.2015 22:39;wymiana
50;13.01.2015 23:09;wymiana
45;14.01.2015 05:07;restart
54;14.01.2015 09:01;restart
61;14.01.2015 16:48;wymiana
62;14.01.2015 17:17;restart
45;14.01.2015 21:48;restart
62;15.01.2015 00:15;restart
39;15.01.2015 00:57;wymiana
63;15.01.2015 03:17;restart
65;15.01.2015 03:20;wymiana
49;15.01.2015 06:35;restart
50;15.01.2015 08:03;restart
60;15.01.2015 12:48;restart
61;15.01.2015 18:06;wymiana
47;15.01.2015 18:15;wymiana
71;15.01.2015 20:31;restart
66;15.01.2015 23:16;wymiana
47;16.01.2015 01:23;restart
46;16.01.2015 01:43;restart
67;16.01.2015 03:13;wymiana
62;16.01.2015 05:14;wymiana
45;16.01.2015 06:42;wymiana
77;16.01.2015 11:03;restart
65;16.01.2015 12:58;wymiana
72;16.01.2015 13:57;restart
57;16.01.2015 15:35;restart
59;16.01.2015 16:06;wymiana
51;16.01.2015 16:24;wymiana
58;16.01.2015 16:57;restart
60;16.01.2015 17:46;wymiana
75;16.01.2015 20:28;wymiana
50;16.01.2015 20:32;restart
67;17.01.2015 10:33;restart
50;17.01.2015 11:52;restart
80;18.01.2015 00:50;wymiana
67;18.01.2015 00:55;wymiana
57;18.01.2015 01:27;wymiana
76;18.01.2015 04:10;wymiana
85;18.01.2015 04:28;wymiana
79;18.01.2015 05:34;restart
57;18.01.2015 07:00;wymiana
77;18.01.2015 14:04;wymiana
69;18.01.2015 18:54;wymiana
70;18.01.2015 20:56;restart
88;19.01.2015 05:16;wymiana
68;19.01.2015 10:23;wymiana
73;19.01.2015 10:33;wymiana
93;19.01.2015 13:59;restart
72;19.01.2015 15:16;restart
61;19.01.2015 15:20;wymiana
84;19.01.2015 15:27;wymiana
60;19.01.2015 15:53;restart
91;19.01.2015 18:42;restart
67;20.01.2015 00:39;restart
64;20.01.2015 00:52;restart
86;20.01.2015 06:44;restart
99;20.01.2015 14:40;wymiana
65;20.01.2015 14:44;wymiana
69;20.01.2015 16:58;wymiana
102;21.01.2015 03:56;restart
83;21.01.2015 10:38;restart
88;21.01.2015 13:07;restart
88;22.01.2015 02:34;wymiana
104;22.01.2015 05:12;restart
74;22.01.2015 06:42;wymiana
92;22.01.2015 10:40;restart
89;22.01.2015 12:02;restart
109;22.01.2015 17:29;restart
100;22.01.2015 21:31;restart
116;22.01.2015 22:22;restart
116;23.01.2015 01:37;wymiana
107;23.01.2015 02:17;restart
90;23.01.2015 03:04;restart
81;23.01.2015 05:15;restart
117;23.01.2015 12:49;wymiana
117;23.01.2015 13:42;wymiana
116;23.01.2015 14:20;restart
82;23.01.2015 14:44;wymiana
92;23.01.2015 14:57;wymiana
78;23.01.2015 15:44;wymiana
117;23.01.2015 18:30;wymiana
92;23.01.2015 19:25;wymiana
115;23.01.2015 23:32;wymiana
92;24.01.2015 04:51;restart
87;24.01.2015 08:29;wymiana
98;24.01.2015 09:29;restart
94;24.01.2015 09:36;restart
115;24.01.2015 09:41;restart
122;24.01.2015 10:53;wymiana
116;24.01.2015 13:12;wymiana
113;24.01.2015 14:01;wymiana
95;24.01.2015 14:49;restart
125;24.01.2015 18:05;restart
111;24.01.2015 19:12;restart
107;24.01.2015 21:10;restart
106;24.01.2015 23:25;restart
112;24.01.2015 23:50;restart
101;25.01.2015 01:15;wymiana
110;25.01.2015 03:21;wymiana
125;25.01.2015 04:57;restart
97;25.01.2015 06:38;restart
91;25.01.2015 07:38;wymiana
101;25.01.2015 12:04;restart
100;25.01.2015 14:42;restart
118;25.01.2015 16:59;restart
92;25.01.2015 19:04;restart
120;25.01.2015 22:44;wymiana
124;25.01.2015 23:47;restart
91;26.01.2015 01:22;wymiana
121;26.01.2015 02:24;restart
117;26.01.2015 02:30;restart
110;26.01.2015 04:55;wymiana
96;26.01.2015 06:23;wymiana
99;26.01.2015 06:51;restart
136;26.01.2015 08:57;wymiana
125;26.01.2015 14:43;wymiana
115;26.01.2015 15:39;restart
125;26.01.2015 23:21;restart
130;26.01.2015 23:28;wymiana
139;27.01.2015 01:00;restart
105;27.01.2015 02:15;restart
100;27.01.2015 04:35;wymiana
136;27.01.2015 04:44;restart
141;27.01.2015 06:04;restart
128;27.01.2015 07:17;wymiana
101;27.01.2015 07:47;wymiana
133;27.01.2015 08:19;restart
127;27.01.2015 10:43;wymiana
108;27.01.2015 12:56;wymiana
115;27.01.2015 13:56;restart
142;27.01.2015 17:17;restart
103;27.01.2015 20:17;wymiana
